chunk	position	next	reference_nll	candidate_nll	kl	same_top
0	407	282	0.0822678	0.0806021	0.000275719	1
0	408	260	0.362301	0.357063	0.00105551	1
0	409	8552	1.12085	1.13042	0.00178284	1
0	410	3086	0.0540646	0.0564087	0.000297096	1
0	411	17709	7.46777	7.41606	0.00344859	1
0	412	531	0.797958	0.829266	0.00349066	1
0	413	866	1.23429	1.24732	0.0109517	0
0	414	281	2.52219	2.45978	0.00716357	1
0	415	216	0.896777	0.901322	0.000981765	1
0	416	34	0.0153752	0.0155752	1.92115e-05	1
0	417	32	0.00138686	0.0015144	8.79512e-06	1
0	418	33	1.05324	1.10425	0.00067786	1
0	419	32	0.592501	0.595657	0.000160033	1
0	420	3297	1.50176	1.50723	0.000521297	1
0	421	347	3.54033	3.51804	0.00484226	1
0	422	476	4.53582	4.55233	0.0042501	1
0	423	659	4.38745	4.45412	0.00432726	1
0	424	1153	3.40009	3.43046	0.00528422	1
0	425	258	1.64663	1.61844	0.00466651	1
0	426	40775	8.66903	8.49846	0.00546716	1
0	427	476	0.690485	0.746434	0.00332876	1
0	428	1673	0.994412	1.03485	0.00291177	1
0	429	389	2.43847	2.41637	0.00130938	1
0	430	9226	0.00296986	0.00301816	2.49523e-05	1
0	431	352	6.15893e-05	5.29559e-05	1.75566e-06	1
0	432	4870	1.67128	1.65061	0.00192005	1
0	433	455	0.000163184	0.000175138	1.24007e-06	1
0	434	281	0.177279	0.19657	0.00156361	1
0	435	260	0.95292	0.977014	0.00140351	1
0	436	216	0.921727	0.94612	0.00255317	1
0	437	34	0.0436259	0.0455959	7.66303e-05	1
0	438	32	0.00718579	0.00710861	2.2575e-05	1
0	439	33	0.295146	0.318278	0.000744928	1
0	440	33	0.968947	0.951561	0.000317988	1
0	441	4771	2.80183	2.84507	0.00177678	1
0	442	24271	9.69597	9.59889	0.0023866	1
0	443	264	2.09297	2.1508	0.00934665	1
0	444	2372	0.00643725	0.00607062	8.85429e-05	1
0	445	9067	3.27271	3.09729	0.00704283	1
0	446	411	0.00238359	0.0025671	2.58713e-05	1
0	447	7042	8.45717	8.34186	0.00214625	1
0	448	2250	0.028498	0.0272464	0.00018758	1
0	449	1866	0.00631767	0.00481982	0.00029554	1
0	450	89	0.00114382	0.000883271	4.29163e-05	1
0	451	1673	0.842134	0.839017	0.00289309	1
0	452	3717	2.00117	2.17964	0.00725945	1
0	453	3717	2.49572	2.40369	0.00360044	1
0	454	446	7.53879	7.67368	0.0026446	0
0	455	446	3.31576	3.50415	0.00722909	1
0	456	24132	12.83	12.6715	0.00553444	1
0	457	446	2.49857	2.70091	0.00828572	1
0	458	446	2.08021	2.29902	0.00460313	1
0	459	3717	0.409985	0.422812	0.00103311	1
0	460	3717	0.863177	0.909541	0.0023588	1
0	461	3717	5.84724	5.65538	0.00148257	1
0	462	446	1.46399	1.39821	0.00516039	1
0	463	446	0.527526	0.567819	0.00285848	1
0	464	446	4.80819	4.97797	0.00433909	1
0	465	216	2.80255	2.73205	0.00342453	1
0	466	34	1.81118	1.70634	0.00729569	0
0	467	32	0.184712	0.210535	0.00228198	1
0	468	32	0.301229	0.308407	0.000894189	1
0	469	32	1.06387	1.16721	0.00318622	1
0	470	816	3.43537	3.44232	0.00688434	0
0	471	216	0.28031	0.254781	0.00247368	1
0	472	34	0.0481977	0.0436876	0.000325372	1
0	473	32	0.00250616	0.00250511	9.21655e-06	1
0	474	32	0.289678	0.285516	9.18184e-05	1
0	475	37	1.75756	1.76006	0.0021036	0
0	476	446	0.225076	0.255698	0.00234999	1
0	477	446	1.02812	1.01874	0.0019268	1
0	478	446	0.617551	0.62062	0.00796917	1
0	479	3717	1.35174	1.61757	0.0121549	1
0	480	3717	0.712379	0.773739	0.00265702	1
0	481	533	3.66109	3.71072	0.00290843	1
0	482	216	0.239255	0.243356	0.000681319	1
0	483	34	0.00802927	0.00848078	2.04053e-05	1
0	484	32	0.000262001	0.000292817	2.13654e-06	1
0	485	32	0.0158135	0.0176626	0.000100207	1
0	486	32	0.196799	0.219767	0.0013599	1
0	487	389	1.743	1.65774	0.0026034	1
0	488	9226	0.00775783	0.00780248	6.51001e-05	1
